# eee07e60-8bbd-4d16-a3df-fee6fb463e93
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.5460682; -0.0598596; -3.1194816; -0.0000038; 63.7698999; 0.3351950
1.9992023; -2.5018745; -2.0585725; -3.1194886; -0.0000032; 63.7804075; 0.3342131
3.9984045; -2.4576936; -4.0572858; -3.1194945; -0.0000029; 63.7908826; 0.3332307
5.9976068; -2.4135242; -6.0560016; -3.1195002; -0.0000029; 63.8013252; 0.3312267
7.9968090; -2.3693664; -8.0547147; -3.1195061; -0.0000030; 63.8117033; 0.3302558
9.9960113; -2.3252205; -10.0534293; -3.1195121; -0.0000031; 63.8220492; 0.3292855
11.9952136; -2.2810868; -12.0521460; -3.1195183; -0.0000032; 63.8323632; 0.3273075
13.9944158; -2.2369658; -14.0508596; -3.1195248; -0.0000033; 63.8426135; 0.3263473
15.9936181; -2.1928578; -16.0495752; -3.1195314; -0.0000034; 63.8528321; 0.3253888
17.9928203; -2.1487633; -18.0482929; -3.1195383; -0.0000035; 63.8630190; 0.3234362
19.9920226; -2.1046828; -20.0470073; -3.1195454; -0.0000036; 63.8731432; 0.3224866
21.9912249; -2.0606167; -22.0457237; -3.1195527; -0.0000037; 63.8832361; 0.3215397
23.9904271; -2.0165655; -24.0444426; -3.1195603; -0.0000039; 63.8932978; 0.3196121
25.9896294; -1.9725298; -26.0431577; -3.1195681; -0.0000040; 63.9032976; 0.3186731
27.9888317; -1.9285100; -28.0418752; -3.1195763; -0.0000041; 63.9132664; 0.3177376
29.9880339; -1.8845066; -30.0405953; -3.1195847; -0.0000043; 63.9232045; 0.3158347
31.9872362; -1.8405204; -32.0393114; -3.1195934; -0.0000044; 63.9330815; 0.3149063
33.9864384; -1.7965518; -34.0380300; -3.1196023; -0.0000046; 63.9429279; 0.3139821
35.9856407; -1.7526015; -36.0367514; -3.1196117; -0.0000047; 63.9527439; 0.3121033
37.9848430; -1.7086702; -38.0354686; -3.1196213; -0.0000049; 63.9624997; 0.3111854
39.9840452; -1.6647585; -40.0341885; -3.1196313; -0.0000051; 63.9722253; 0.3102723
41.9832475; -1.6208671; -42.0329113; -3.1196416; -0.0000053; 63.9819210; 0.3084174
43.9824497; -1.5769968; -44.0316296; -3.1196524; -0.0000055; 63.9915572; 0.3075098
45.9816520; -1.5331482; -46.0303509; -3.1196635; -0.0000057; 64.0011635; 0.3066078
47.9808543; -1.4893222; -48.0290753; -3.1196750; -0.0000059; 64.0107403; 0.3047762
49.9800565; -1.4455198; -50.0277950; -3.1196869; -0.0000061; 64.0202585; 0.3038791
51.9792588; -1.4017416; -52.0265178; -3.1196993; -0.0000063; 64.0297472; 0.3029879
53.9784610; -1.3579885; -54.0252440; -3.1197121; -0.0000065; 64.0392067; 0.3011793
55.9776633; -1.3142617; -56.0239652; -3.1197255; -0.0000068; 64.0486084; 0.3002925
