# x_m,y_m,w_tr_right_m,w_tr_left_m
565166.9106881658,4405076.390084252,5.0,5.0
565166.9312278787,4405075.279588207,5.0,5.0
565166.9517682027,4405074.169089732,5.0,5.0
565166.972309148,4405073.058588803,5.0,5.0
565166.9928507213,4405071.948085397,5.0,5.0
565167.0133929283,4405070.837579492,5.0,5.0
565167.033926285,4405069.728179417,5.0,5.0
565167.0544697816,4405068.617668434,5.0,5.0
565167.0750139287,4405067.507154879,5.0,5.0
565167.0955587375,4405066.396638729,5.0,5.0
565167.1161042136,4405065.286119956,5.0,5.0
565167.1357941868,4405064.175591332,5.0,5.0
565167.1563410189,4405063.06506724,5.0,5.0
565167.1768885428,4405061.954540447,5.0,5.0
565167.1974367633,4405060.844010929,5.0,5.0
565167.2179856881,4405059.733478657,5.0,5.0
565167.2385353253,4405058.622943605,5.0,5.0
565167.2590856848,4405057.512405745,5.0,5.0
565167.2796273009,4405056.402973311,5.0,5.0
565167.3001791263,4405055.29242974,5.0,5.0
565167.3207316989,4405054.181883275,5.0,5.0
565167.3412850241,4405053.071333883,5.0,5.0
565167.3609829295,4405051.960774311,5.0,5.0
565167.3815377902,4405050.850218976,5.0,5.0
565167.4020934326,4405049.739660625,5.0,5.0
565167.4226498627,4405048.629099223,5.0,5.0
565167.4432070925,4405047.51853474,5.0,5.0
565167.4637651321,4405046.407967143,5.0,5.0
565167.4843239917,4405045.297396397,5.0,5.0
565167.504883677,4405044.186822468,5.0,5.0
565167.5254347516,4405043.077353489,5.0,5.0
565167.5459961285,4405041.966773084,5.0,5.0
565167.5657021789,4405040.856182145,5.0,5.0
565167.5862652843,4405039.745595127,5.0,5.0
565167.6068292725,4405038.635004747,5.0,5.0
565167.6273941525,4405037.524410967,5.0,5.0
565167.6479599355,4405036.413813753,5.0,5.0
565167.668526636,4405035.303213062,5.0,5.0
565167.6890942609,4405034.192608856,5.0,5.0
565167.7096628258,4405033.082001093,5.0,5.0
565167.7302323441,4405031.971389736,5.0,5.0
565167.7508028259,4405030.86077474,5.0,5.0
565167.7713648578,4405029.751264122,5.0,5.0
565167.7910811214,4405028.640634436,5.0,5.0
565167.8116545746,4405027.530008256,5.0,5.0
565167.8322290451,4405026.419378262,5.0,5.0
565167.8528045474,4405025.308744411,5.0,5.0
565167.8733810941,4405024.198106655,5.0,5.0
565167.8939587018,4405023.087464947,5.0,5.0
565167.9145373816,4405021.9768192405,5.0,5.0
565167.9351171529,4405020.866169487,5.0,5.0
565167.9556980298,4405019.755515632,5.0,5.0
565167.9762800273,4405018.644857629,5.0,5.0
565167.9968631609,4405017.534195427,5.0,5.0
565168.0165818639,4405016.424629603,5.0,5.0
