# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.0,5.0,5.0
3.999665182433091,0.049837357364594936,5.0,5.0
7.999278839328326,0.10529770143330097,5.0,5.0
11.998832776211202,0.16491488739848137,5.0,5.0
15.998434524284676,0.2211507624015212,5.0,5.0
19.998084278660826,0.2739880597218871,5.0,5.0
23.997733432683162,0.3268961450085044,5.0,5.0
27.9974475504132,0.37293092254549265,5.0,5.0
31.997411170508713,0.3897575903683901,5.0,5.0
35.997247087652795,0.42122917994856834,5.0,5.0
39.99692078749649,0.47222035098820925,5.0,5.0
43.99659480887931,0.5232355464249849,5.0,5.0
47.99594559741672,0.5943406727164984,5.0,5.0
51.99519582930952,0.6717441994696856,5.0,5.0
55.99444617051631,0.7491492303088307,5.0,5.0
59.99365768220741,0.8285268917679787,5.0,5.0
63.99284688686021,0.9090349720790982,5.0,5.0
67.99203439918347,0.9896257631480694,5.0,5.0
71.99115085043013,1.0736670205369592,5.0,5.0
75.99026566150133,1.1577632734552026,5.0,5.0
79.98938011063728,1.2418527966365218,5.0,5.0
83.98854641639628,1.3234591567888856,5.0,5.0
87.987740720273,1.403712454251945,5.0,5.0
91.98688246717211,1.4865444423630834,5.0,5.0
95.9860237587709,1.5693984990939498,5.0,5.0
99.9851650489727,1.652252595871687,5.0,5.0
103.98430633882526,1.7351067373529077,5.0,5.0
107.98344762728084,1.8179609263315797,5.0,5.0
111.98258894914761,1.9008135329931974,5.0,5.0
115.98173027148005,1.9836660837754607,5.0,5.0
119.98087159427814,2.0665185898542404,5.0,5.0
123.98001291870605,2.1493710512295365,5.0,5.0
127.97915424371604,2.2322234688326716,5.0,5.0
131.9782955691917,2.3150758454576135,5.0,5.0
135.9775417902274,2.3926217909902334,5.0,5.0
139.9768222058192,2.4684588368982077,5.0,5.0
143.9761016719276,2.5443401085212827,5.0,5.0
147.9753394575091,2.6223476277664304,5.0,5.0
151.97453619213775,2.702479626983404,5.0,5.0
155.97373295470607,2.7826104890555143,5.0,5.0
159.9729297462618,2.8627402195706964,5.0,5.0
163.9721580632031,2.941279106773436,5.0,5.0
167.9713490117574,3.0216734148561954,5.0,5.0
171.9704954228364,3.1042797546833754,5.0,5.0
175.96964182297233,3.1868865424767137,5.0,5.0
179.9687882134458,3.269493730738759,5.0,5.0
183.96793459542096,3.352101326920092,5.0,5.0
