# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.0,0.4,0.4
-0.6345576972234994,-0.7506123343482614,0.4,0.4
-1.26911551784724,-1.5012246137484908,0.4,0.4
-1.9028039225377142,-2.2518170727416873,0.4,0.4
-2.5373619864694774,-3.0024292413145304,0.4,0.4
-3.1710506377276033,-3.753021588549018,0.4,0.4
-3.8002151465043426,-4.511283778585494,0.4,0.4
-4.424011206487194,-5.276086234487593,0.4,0.4
-5.047807388007641,-6.040888634510338,0.4,0.4
-5.6716036923462525,-6.805690980516374,0.4,0.4
-6.295400119386613,-7.570493271574378,0.4,0.4
-6.918327131657861,-8.335275747813284,0.4,0.4
-7.532230971148238,-9.114288153126836,0.4,0.4
-8.14529062109068,-9.892170924693346,0.4,0.4
-8.758325170259923,-10.67116346117109,0.4,0.4
-9.371359841548838,-11.450155945494771,0.4,0.4
-9.984419860760681,-12.228038560599089,0.4,0.4
-10.592086206306703,-13.01357126235962,0.4,0.4
-11.194358878652565,-13.806754050776362,0.4,0.4
-11.796656897757202,-14.598826973699033,0.4,0.4
-12.398955040378496,-15.390899843536317,0.4,0.4
-13.001253306283616,-16.182972664013505,0.4,0.4
-13.60355169675313,-16.975045434199274,0.4,0.4
-14.19421830191277,-17.781288854777813,0.4,0.4
-14.785779794328846,-18.586442173458636,0.4,0.4
-15.37731618527323,-19.39270525984466,0.4,0.4
-15.968877923674881,-20.19785847980529,0.4,0.4
-16.559570246725343,-21.00299188774079,0.4,0.4
-17.145738436607644,-21.81579515337944,0.4,0.4
-17.725668639410287,-22.635118934325874,0.4,0.4
-18.305624188971706,-23.453332849778235,0.4,0.4
-18.885554638691247,-24.27265653759241,0.4,0.4
-19.4663799747359,-25.090890120714903,0.4,0.4
-20.045441131922416,-25.910193949006498,0.4,0.4
-20.614660030580126,-26.741488333791494,0.4,0.4
-21.18385382834822,-27.57389248907566,0.4,0.4
-21.75220343505498,-28.40516701899469,0.4,0.4
-22.321422702632844,-29.236461265943944,0.4,0.4
-22.88977255462669,-30.067735702730715,0.4,0.4
-23.45272873644717,-30.906660243868828,0.4,0.4
-24.010341689921916,-31.751015252433717,0.4,0.4
-24.567085227230564,-32.595350455492735,0.4,0.4
-25.1246984268073,-33.4397053765133,0.4,0.4
-25.682311750482768,-34.284060251899064,0.4,0.4
-26.239055657875724,-35.12839532177895,0.4,0.4
-26.784218222135678,-35.98468143492937,0.4,0.4
-27.330225229496136,-36.84209708403796,0.4,0.4
-27.875388039741665,-37.69838311243802,0.4,0.4
-28.42142051330302,-38.554688858799636,0.4,0.4
-28.967453110497445,-39.41099456232041,0.4,0.4
-29.506352952914312,-40.274910853244364,0.4,0.4
-30.039909566752613,-41.144257619977,0.4,0.4
