# dfb5a089-f3ae-4d77-9ec0-b7285ed81a13
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0851221; -0.8904619; 2.4885047; 0.0024988; 59.3693288; 0.6647813
1.9993968; -0.1259157; -2.4813215; 2.4932881; 0.0022855; 59.3917126; 0.6621888
3.9987936; -1.3296532; -4.0776993; 2.4976897; 0.0021644; 59.4140007; 0.6595947
5.9981905; -2.5265311; -5.6793784; 2.5019906; 0.0021381; 59.4361932; 0.6541724
7.9975873; -3.7165135; -7.2861373; 2.5062655; 0.0021381; 59.4581951; 0.6514060
9.9969841; -4.8996277; -8.8979851; 2.5105413; 0.0021393; 59.4800958; 0.6486726
11.9963809; -6.0757500; -10.5147598; 2.5148208; 0.0021418; 59.5018967; 0.6428851
13.9957778; -7.2450879; -12.1367645; 2.5191063; 0.0021448; 59.5234951; 0.6398463
15.9951746; -8.4074011; -13.7636882; 2.5233983; 0.0021484; 59.5449837; 0.6368803
17.9945714; -9.5625480; -15.3953534; 2.5276975; 0.0021527; 59.5663650; 0.6307334
19.9939682; -10.7109489; -17.0323852; 2.5320065; 0.0021572; 59.5875323; 0.6273938
21.9933651; -11.8521579; -18.6741833; 2.5363248; 0.0021622; 59.6085802; 0.6241877
23.9927619; -12.9860355; -20.3205749; 2.5406525; 0.0021676; 59.6295130; 0.6177193
25.9921587; -14.1131466; -21.9724207; 2.5449922; 0.0021728; 59.6502218; 0.6140130
27.9915555; -15.2329135; -23.6289162; 2.5493425; 0.0021790; 59.6707991; 0.6105409
29.9909524; -16.3452028; -25.2898996; 2.5537051; 0.0021856; 59.6912531; 0.6037512
31.9903492; -17.4506339; -26.9563419; 2.5580780; 0.0021880; 59.7114727; 0.5995664
33.9897460; -18.5486063; -28.6273764; 2.5624715; 0.0022187; 59.7315454; 0.5957815
35.9891428; -19.6388786; -30.3028434; 2.5669581; 0.0022695; 59.7514847; 0.5886945
37.9885397; -20.7218600; -31.9837300; 2.5715365; 0.0023092; 59.7711803; 0.5837038
39.9879365; -21.7968930; -33.6692915; 2.5761520; 0.0022833; 59.7907025; 0.5793856
41.9873333; -22.8642876; -35.3598399; 2.5806499; 0.0022251; 59.8100739; 0.5715912
43.9867301; -23.9241495; -37.0551906; 2.5851152; 0.0022416; 59.8291787; 0.5656469
45.9861270; -24.9763927; -38.7552563; 2.5896109; 0.0022539; 59.8480787; 0.5607901
47.9855238; -26.0209933; -40.4600937; 2.5941268; 0.0022639; 59.8668106; 0.5524808
49.9849206; -27.0578347; -42.1695938; 2.5986673; 0.0022780; 59.8852592; 0.5454648
51.9843174; -28.0868668; -43.8837770; 2.6032358; 0.0022920; 59.9034679; 0.5400666
53.9837142; -29.1080989; -45.6027693; 2.6078325; 0.0023061; 59.9214910; 0.5313657
55.9831111; -30.1213441; -47.3263673; 2.6124580; 0.0023209; 59.9392184; 0.5235368
57.9825079; -31.1265572; -49.0546082; 2.6171128; 0.0023356; 59.9566795; 0.5179091
59.9819047; -32.1237700; -50.7876652; 2.6217975; 0.0023502; 59.9739479; 0.5094211
61.9813015; -33.1127807; -52.5253052; 2.6265105; 0.0023643; 59.9909285; 0.5015501
63.9806984; -34.0935300; -54.2675356; 2.6312509; 0.0023775; 60.0076420; 0.4963320
65.9800952; -35.0660709; -56.0145601; 2.6360176; 0.0023899; 60.0241770; 0.4890083
67.9794920; -36.0302162; -57.7661447; 2.6408067; 0.0024007; 60.0404636; 0.4822880
69.9788888; -36.9858939; -59.5222432; 2.6456140; 0.0024072; 60.0565220; 0.4782700
71.9782857; -37.9332002; -61.2830902; 2.6504300; 0.0024042; 60.0724425; 0.4730697
73.9776825; -38.8720075; -63.0484119; 2.6552141; 0.0023815; 60.0881856; 0.4687365
75.9770793; -39.8023848; -64.8181952; 2.6599857; 0.0023997; 60.1037805; 0.4666149
77.9764761; -40.7242605; -66.5924234; 2.6648105; 0.0024210; 60.1193008; 0.4642620
79.9758730; -41.6375206; -68.3710475; 2.6696537; 0.0024236; 60.1347388; 0.4631343
81.9752698; -42.5421629; -70.1540926; 2.6744966; 0.0024194; 60.1501354; 0.4631371
83.9746666; -43.4381635; -71.9414815; 2.6793280; 0.0024126; 60.1655282; 0.4635810
85.9740634; -44.3255288; -73.7331643; 2.6841425; 0.0024034; 60.1809318; 0.4656722
87.9734603; -45.2042894; -75.5291180; 2.6889361; 0.0023911; 60.1964009; 0.4675560
89.9728571; -46.0744415; -77.3292267; 2.6937038; 0.0023773; 60.2119285; 0.4702174
91.9722539; -46.9360242; -79.1334425; 2.6984410; 0.0023614; 60.2275405; 0.4748588
93.9716507; -47.7890984; -80.9417446; 2.7031446; 0.0023432; 60.2433025; 0.4780080
95.9710475; -48.6336764; -82.7539913; 2.7078107; 0.0023239; 60.2591649; 0.4819504
97.9704444; -49.4698198; -84.5701300; 2.7124363; 0.0023032; 60.2751539; 0.4880833
99.9698412; -50.2976132; -86.3901469; 2.7170194; 0.0022811; 60.2913420; 0.4917807
101.9692380; -51.1170815; -88.2138850; 2.7215577; 0.0022583; 60.3076483; 0.4960924
103.9686348; -51.9282999; -90.0412886; 2.7260496; 0.0022350; 60.3240932; 0.5026934
105.9680317; -52.7313669; -91.8723494; 2.7304943; 0.0022109; 60.3407523; 0.5063864
107.9674285; -53.5263167; -93.7069079; 2.7348907; 0.0021867; 60.3575291; 0.5104603
109.9668253; -54.3132312; -95.5449080; 2.7392383; 0.0021623; 60.3744362; 0.5168818
111.9662221; -55.0922118; -97.3863387; 2.7435369; 0.0021376; 60.3915512; 0.5203070
113.9656190; -55.8633028; -99.2310526; 2.7477862; 0.0021129; 60.4087746; 0.5239058
115.9650158; -56.6265894; -101.0789963; 2.7519859; 0.0020881; 60.4261123; 0.5299276
117.9644126; -57.3821666; -102.9301404; 2.7561360; 0.0020632; 60.4436441; 0.5330506
119.9638094; -58.1300932; -104.7843660; 2.7602361; 0.0020382; 60.4612742; 0.5361810
121.9632063; -58.8704587; -106.6416274; 2.7642862; 0.0020131; 60.4790026; 0.5418391
123.9626031; -59.6033425; -108.5018520; 2.7682858; 0.0019877; 60.4969128; 0.5447171
125.9619999; -60.3288257; -110.3649701; 2.7722346; 0.0019622; 60.5149127; 0.5475917
127.9613967; -61.0470042; -112.2309467; 2.7761322; 0.0019365; 60.5330023; 0.5527183
129.9607936; -61.7579356; -114.0996448; 2.7799780; 0.0019105; 60.5512558; 0.5555224
131.9601904; -62.4617284; -115.9710576; 2.7837717; 0.0018843; 60.5695963; 0.5581957
133.9595872; -63.1584868; -117.8451652; 2.7875129; 0.0018579; 60.5880195; 0.5628307
135.9589840; -63.8482448; -119.7217553; 2.7912008; 0.0018312; 60.6065900; 0.5655477
137.9583809; -64.5311374; -121.6008853; 2.7948353; 0.0018043; 60.6252444; 0.5680157
139.9577777; -65.2072797; -123.4825586; 2.7984157; 0.0017771; 60.6439744; 0.5721505
141.9571745; -65.8766804; -125.3664791; 2.8019423; 0.0017506; 60.6628350; 0.5747216
143.9565713; -66.5394993; -127.2527775; 2.8054166; 0.0017254; 60.6817744; 0.5769579
145.9559681; -67.1958471; -129.1414686; 2.8088431; 0.0017062; 60.7007815; 0.5806049
147.9553650; -67.8456552; -131.0321878; 2.8122776; 0.0017293; 60.7199028; 0.5829479
149.9547618; -68.4889213; -132.9250936; 2.8157225; 0.0016951; 60.7390952; 0.5848894
151.9541586; -69.1258994; -134.8205466; 2.8190421; 0.0016286; 60.7583454; 0.5878692
153.9535554; -69.7565582; -136.7176789; 2.8222608; 0.0015915; 60.7776875; 0.5898993
155.9529523; -70.3812097; -138.6169117; 2.8254101; 0.0015613; 60.7970903; 0.5915308
