# x_m,y_m,w_tr_right_m,w_tr_left_m
680970.5639324482,4286937.503254159,0.4,0.4
680969.9293747509,4286936.752641825,0.4,0.4
680969.2948169303,4286936.002029546,0.4,0.4
680968.6611285256,4286935.251437087,0.4,0.4
680968.0265704617,4286934.500824918,0.4,0.4
680967.3928818104,4286933.750232571,0.4,0.4
680966.7637173017,4286932.991970381,0.4,0.4
680966.1399212417,4286932.227167925,0.4,0.4
680965.5161250602,4286931.462365525,0.4,0.4
680964.8923287558,4286930.697563179,0.4,0.4
680964.2685323288,4286929.932760888,0.4,0.4
680963.6456053165,4286929.167978412,0.4,0.4
680963.031701477,4286928.388966006,0.4,0.4
680962.4186418271,4286927.611083235,0.4,0.4
680961.8056072779,4286926.832090698,0.4,0.4
680961.1925726066,4286926.053098214,0.4,0.4
680960.5795125874,4286925.275215599,0.4,0.4
680959.9718462419,4286924.489682897,0.4,0.4
680959.3695735695,4286923.696500109,0.4,0.4
680958.7672755504,4286922.904427186,0.4,0.4
680958.1649774078,4286922.112354316,0.4,0.4
680957.5626791419,4286921.320281495,0.4,0.4
680956.9603807514,4286920.528208725,0.4,0.4
680956.3697141462,4286919.721965305,0.4,0.4
680955.7781526538,4286918.916811986,0.4,0.4
680955.1866162629,4286918.1105488995,0.4,0.4
680954.5950545245,4286917.30539568,0.4,0.4
680954.0043622014,4286916.500262272,0.4,0.4
680953.4181940116,4286915.687459006,0.4,0.4
680952.8382638087,4286914.868135225,0.4,0.4
680952.2583082592,4286914.04992131,0.4,0.4
680951.6783778095,4286913.230597622,0.4,0.4
680951.0975524734,4286912.412364039,0.4,0.4
680950.5184913162,4286911.59306021,0.4,0.4
680949.9492724176,4286910.761765826,0.4,0.4
680949.3800786198,4286909.92936167,0.4,0.4
680948.8117290131,4286909.09808714,0.4,0.4
680948.2425097455,4286908.266792893,0.4,0.4
680947.6741598935,4286907.435518457,0.4,0.4
680947.1112037117,4286906.5965939155,0.4,0.4
680946.5535907582,4286905.752238907,0.4,0.4
680945.9968472209,4286904.907903704,0.4,0.4
680945.4392340214,4286904.063548783,0.4,0.4
680944.8816206977,4286903.219193907,0.4,0.4
680944.3248767903,4286902.374858838,0.4,0.4
680943.779714226,4286901.518572724,0.4,0.4
680943.2337072187,4286900.661157075,0.4,0.4
680942.6885444084,4286899.804871047,0.4,0.4
680942.1425119349,4286898.948565301,0.4,0.4
680941.5964793377,4286898.092259597,0.4,0.4
680941.0575794952,4286897.228343306,0.4,0.4
680940.5240228814,4286896.358996539,0.4,0.4
680939.9904409241,4286895.490759631,0.4,0.4
680939.4559893036,4286894.622503001,0.4,0.4
680938.9224323251,4286893.753156358,0.4,0.4
680938.3897447629,4286892.883829516,0.4,0.4
680937.8677437855,4286892.003641676,0.4,0.4
680937.3457679078,4286891.122344059,0.4,0.4
680936.8237666858,4286890.242156297,0.4,0.4
680936.3017653436,4286889.361968576,0.4,0.4
680935.7806586433,4286888.480690836,0.4,0.4
680935.2657647164,4286887.594002375,0.4,0.4
680934.7562140215,4286886.7018834315,0.4,0.4
680934.2457936653,4286885.809744766,0.4,0.4
680933.7362679504,4286884.9165160805,0.4,0.4
680933.2267168947,4286884.024397249,0.4,0.4
680932.7180604807,4286883.1311884,0.4,0.4
680932.2209349781,4286882.228248119,0.4,0.4
680931.7238345755,4286881.324198058,0.4,0.4
680931.2258392896,4286880.421238088,0.4,0.4
680930.7287386497,4286879.517188099,0.4,0.4
